Accession	TF	Tissue	Cell	File	CellDeriv	IMPACT_new
GSM1057013	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057013_STAT1_peaks.narrowPeak	Monocyte	157
GSM1057014	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057014_STAT1_peaks.narrowPeak	Monocyte	157
GSM1057015	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057015_STAT1_peaks.narrowPeak	Monocyte	157
GSM1057024	IRF1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057024_IRF1_peaks.narrowPeak	Monocyte	158
GSM1057025	IRF1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057025_IRF1_peaks.narrowPeak	Monocyte	158
GSM1057026	IRF1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057026_IRF1_peaks.narrowPeak	Monocyte	158
GSM1057027	IRF1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057027_IRF1_peaks.narrowPeak	Monocyte	158
GSM1056928	ETS1	BLOOD	Treg	PRJNA185269_GSM1056928_ETS1_peaks.narrowPeak	Treg	159
GSM1056929	ETS1	BLOOD	Treg	PRJNA185269_GSM1056929_ETS1_peaks.narrowPeak	Treg	159
GSM1056930	ETS1	BLOOD	Treg	PRJNA185269_GSM1056930_ETS1_peaks.narrowPeak	Treg	159
GSM1056931	ETS1	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056931_ETS1_peaks.narrowPeak	CD4 T cell	160
GSM1056932	ETS1	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056932_ETS1_peaks.narrowPeak	CD4 T cell	160
GSM1056933	RUNX1	BLOOD	Treg	PRJNA185269_GSM1056933_RUNX1_peaks.narrowPeak	Treg	161
GSM1056934	RUNX1	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056934_RUNX1_peaks.narrowPeak	CD4 T cell	162
GSM1056935	RUNX1	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056935_RUNX1_peaks.narrowPeak	CD4 T cell	162
GSM1056936	FOXP3	BLOOD	Treg	PRJNA185269_GSM1056936_FOXP3_peaks.narrowPeak	Treg	163
GSM1056937	FOXP3	BLOOD	Treg	PRJNA185269_GSM1056937_FOXP3_peaks.narrowPeak	Treg	163
GSM1056938	FOXP3	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056938_FOXP3_peaks.narrowPeak	CD4 T cell	164
GSM1056939	FOXP3	BLOOD	CD4-Positive T-Lymphocytes	PRJNA185269_GSM1056939_FOXP3_peaks.narrowPeak	CD4 T cell	164
GSM898060	BCL6	BLOOD	B-Lymphocytes	PRJNA185984_GSM898060_BCL6_peaks.narrowPeak	B cell	165
GSM1065711	HSF1	BLOOD	K-562	PRJNA186755_GSM1065711_HSF1_peaks.narrowPeak	Myeloid	166
GSM1065714	HSF1	BLOOD	K-562	PRJNA186755_GSM1065714_HSF1_peaks.narrowPeak	Myeloid	166
GSM1065721	HSF1	BLOOD	K-562	PRJNA186755_GSM1065721_HSF1_peaks.narrowPeak	Myeloid	166
GSM1065712	HSF2	BLOOD	K-562	PRJNA186755_GSM1065712_HSF2_peaks.narrowPeak	Myeloid	167
GSM1065715	HSF2	BLOOD	K-562	PRJNA186755_GSM1065715_HSF2_peaks.narrowPeak	Myeloid	167
GSM1065722	HSF2	BLOOD	K-562	PRJNA186755_GSM1065722_HSF2_peaks.narrowPeak	Myeloid	167
GSM1067274	GATA1	BLOOD	Erythroid Cells	PRJNA186857_GSM1067274_GATA1_peaks.narrowPeak	Erythroid	168
GSM1067275	KLF1	BLOOD	Erythroid Cells	PRJNA186857_GSM1067275_KLF1_peaks.narrowPeak	Erythroid	169
GSM1067276	NFE2	BLOOD	Erythroid Cells	PRJNA186857_GSM1067276_NFE2_peaks.narrowPeak	Erythroid	170
GSM1070125	CTCF	BLOOD	MM.1S	PRJNA187203_GSM1070125_CTCF_peaks.narrowPeak	Multiple Myeloma	171
GSM1187229	ASCL1	FIBROBLAST	Dermal fibroblast	PRJNA188177_GSM1187229_ASCL1_peaks.narrowPeak	Fibroblast	172
GSM1187231	ASCL1	SKIN	Keratinocytes	PRJNA188177_GSM1187231_ASCL1_peaks.narrowPeak	Keratinocyte	173
GSM1076109	ESR1	PROSTATE	VCaP	PRJNA188302_GSM1076109_ESR1_peaks.narrowPeak	Prostate	174
GSM1076110	ESR1	PROSTATE	VCaP	PRJNA188302_GSM1076110_ESR1_peaks.narrowPeak	Prostate	174
GSM1076111	ESR1	PROSTATE	VCaP	PRJNA188302_GSM1076111_ESR1_peaks.narrowPeak	Prostate	174
GSM1076112	ESR1	PROSTATE	NCI-H660	PRJNA188302_GSM1076112_ESR1_peaks.narrowPeak	Prostate	175
GSM1084783	TEAD4	GI	MKN-28	PRJNA189846_GSM1084783_TEAD4_peaks.narrowPeak	Stomach	176
GSM1084785	TEAD4	GI	SNU-216	PRJNA189846_GSM1084785_TEAD4_peaks.narrowPeak	Stomach	177
GSM1084800	BACH2	BLOOD	OCI-LY-7	PRJNA189941_GSM1084800_BACH2_peaks.narrowPeak	B cell	178
GSM1084801	BCL6	BLOOD	OCI-LY-7	PRJNA189941_GSM1084801_BCL6_peaks.narrowPeak	B cell	179
GSM1086293	PAX5	BLOOD	RAJI	PRJNA190710_GSM1086293_PAX5_peaks.narrowPeak	B cell	180
GSM1086294	PAX5	BLOOD	RAJI	PRJNA190710_GSM1086294_PAX5_peaks.narrowPeak	B cell	180
GSM1086295	PAX5	BLOOD	NAMALWA	PRJNA190710_GSM1086295_PAX5_peaks.narrowPeak	B cell	181
GSM1086296	PAX5	BLOOD	NAMALWA	PRJNA190710_GSM1086296_PAX5_peaks.narrowPeak	B cell	181
GSM1086297	PAX5	LUNG	L-428	PRJNA190710_GSM1086297_PAX5_peaks.narrowPeak	Lung	182
GSM1086298	PAX5	LUNG	L-428	PRJNA190710_GSM1086298_PAX5_peaks.narrowPeak	Lung	182
GSM1088663	MYC	CERVIX	HeLa	PRJNA190879_GSM1088663_MYC_peaks.narrowPeak	Cervix	183
GSM822286	MYC	CERVIX	HeLa	PRJNA63443_GSM822286_MYC_peaks.narrowPeak	Cervix	183
GSM748533	MYC	CERVIX	HeLa	PRJNA63447_GSM748533_MYC_peaks.narrowPeak	Cervix	183
GSM748534	MYC	CERVIX	HeLa	PRJNA63447_GSM748534_MYC_peaks.narrowPeak	Cervix	183
GSM935320	MYC	CERVIX	HeLa	PRJNA63447_GSM935320_MYC_peaks.narrowPeak	Cervix	183
GSM1231597	MYC	BONE	U2OS	PRJNA190879_GSM1231597_MYC_peaks.narrowPeak	Tibial Epithelium	184
GSM1231598	MYC	BONE	U2OS	PRJNA190879_GSM1231598_MYC_peaks.narrowPeak	Tibial Epithelium	184
GSM1097879	ERG	BLOOD	CD34+	PRJNA193088_GSM1097879_ERG_peaks.narrowPeak	Hematopoietic progenitors	185
GSM1099029	MYC	BREAST	MDA-MB-453	PRJNA193202_GSM1099029_MYC_peaks.narrowPeak	Breast	186
GSM1099031	FOXA1	BREAST	MDA-MB-453	PRJNA193202_GSM1099031_FOXA1_peaks.narrowPeak	Breast	187
GSM1103555	ZFX	BRAIN	Daoy	PRJNA194396_GSM1103555_ZFX_peaks.narrowPeak	Cerebellum	188
GSM1113433	TFAP4	BLOOD	Kasumi-1	PRJNA196162_GSM1113433_TFAP4_peaks.narrowPeak	Myeloid	189
GSM1113434	TFAP4	BLOOD	Kasumi-1	PRJNA196162_GSM1113434_TFAP4_peaks.narrowPeak	Myeloid	189
GSM1116663	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116663_HSF1_peaks.narrowPeak	Myeloid	190
GSM1116665	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116665_HSF1_peaks.narrowPeak	Myeloid	190
GSM1116666	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116666_HSF1_peaks.narrowPeak	Myeloid	190
GSM1116668	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116668_HSF1_peaks.narrowPeak	Myeloid	190
GSM1116671	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116671_HSF1_peaks.narrowPeak	Myeloid	190
GSM1116672	HSF1	BLOOD	M0-91	PRJNA196591_GSM1116672_HSF1_peaks.narrowPeak	Myeloid	190
GSM1122667	CTCF	BREAST	SUM 159PT	PRJNA197196_GSM1122667_CTCF_peaks.narrowPeak	Breast	191
GSM1125261	FOSL1	BREAST	BT-549	PRJNA197435_GSM1125261_FOSL1_peaks.narrowPeak	Breast	192
GSM1125262	JUN	BREAST	BT-549	PRJNA197435_GSM1125262_JUN_peaks.narrowPeak	Breast	193
GSM1125982	GRHL2	LUNG	Tracheal epithelial cells	PRJNA198009_GSM1125982_GRHL2_peaks.narrowPeak	Tracheal epithelial	194
GSM1125983	GRHL2	LUNG	Tracheal epithelial cells	PRJNA198009_GSM1125983_GRHL2_peaks.narrowPeak	Tracheal epithelial	194
GSM1125984	GRHL2	LUNG	Tracheal epithelial cells	PRJNA198009_GSM1125984_GRHL2_peaks.narrowPeak	Tracheal epithelial	194
GSM1126875	NR2C2	FIBROBLAST	WI-38	PRJNA198233_GSM1126875_NR2C2_peaks.narrowPeak	Lung	195
GSM1126879	NR2C2	CERVIX	HeLa	PRJNA198233_GSM1126879_NR2C2_peaks.narrowPeak	Cervix	196
GSM608159	NR2C2	CERVIX	HeLa	PRJNA63447_GSM608159_NR2C2_peaks.narrowPeak	Cervix	196
GSM608160	NR2C2	CERVIX	HeLa	PRJNA63447_GSM608160_NR2C2_peaks.narrowPeak	Cervix	196
GSM935369	NR2C2	CERVIX	HeLa	PRJNA63447_GSM935369_NR2C2_peaks.narrowPeak	Cervix	196
GSM1133656	E2F1	BLOOD	OCI-LY1	PRJNA201426_GSM1133656_E2F1_peaks.narrowPeak	B cell	197
GSM1139032	SOX2	GI	KYSE-70	PRJNA202445_GSM1139032_SOX2_peaks.narrowPeak	Esophagus	198
GSM1139035	SOX2	GI	T.T	PRJNA202445_GSM1139035_SOX2_peaks.narrowPeak	Thyroid	199
GSM1139038	SOX2	LUNG	HCC95	PRJNA202445_GSM1139038_SOX2_peaks.narrowPeak	Lung	200
GSM1139041	SOX2	STEMCELL	hESC H9	PRJNA202445_GSM1139041_SOX2_peaks.narrowPeak	Stem cell	201
GSM1145322	ETV1	PROSTATE	LNCAP	PRJNA203679_GSM1145322_ETV1_peaks.narrowPeak	Prostate	202
GSM1151694	GATA6	PANCREAS	PA-TU-8988S	PRJNA205985_GSM1151694_GATA6_peaks.narrowPeak	Pancreas	203
GSM1164144	FOXA1	PROSTATE	DU 145	PRJNA208545_GSM1164144_FOXA1_peaks.narrowPeak	Prostate	204
GSM1164145	FOXA1	PROSTATE	DU 145	PRJNA208545_GSM1164145_FOXA1_peaks.narrowPeak	Prostate	204
GSM1164146	FOXA1	PROSTATE	DU 145	PRJNA208545_GSM1164146_FOXA1_peaks.narrowPeak	Prostate	204
GSM1164147	FOXA1	PROSTATE	DU 145	PRJNA208545_GSM1164147_FOXA1_peaks.narrowPeak	Prostate	204
GSM1164148	FOXA1	PROSTATE	DU 145	PRJNA208545_GSM1164148_FOXA1_peaks.narrowPeak	Prostate	204
GSM1168432	ESR2	BREAST	MCF-7	PRJNA209061_GSM1168432_ESR2_peaks.narrowPeak	Breast	205
GSM1168433	ESR2	BREAST	MCF-7	PRJNA209061_GSM1168433_ESR2_peaks.narrowPeak	Breast	205
GSM1192174	REST	ADRENAL	NCI-H295R	PRJNA212690_GSM1192174_REST_peaks.narrowPeak	Adrenal	206
GSM1192175	REST	ADRENAL	NCI-H295R	PRJNA212690_GSM1192175_REST_peaks.narrowPeak	Adrenal	206
GSM1193659	GABPA	PROSTATE	VCaP	PRJNA213143_GSM1193659_GABPA_peaks.narrowPeak	Prostate	207
GSM1193660	GABPA	PROSTATE	VCaP	PRJNA213143_GSM1193660_GABPA_peaks.narrowPeak	Prostate	207
GSM1193661	GABPA	PROSTATE	VCaP	PRJNA213143_GSM1193661_GABPA_peaks.narrowPeak	Prostate	207
GSM1193662	GABPA	BLOOD	Jurkat	PRJNA213143_GSM1193662_GABPA_peaks.narrowPeak	T cell	208
GSM1193663	GABPA	BLOOD	Jurkat	PRJNA213143_GSM1193663_GABPA_peaks.narrowPeak	T cell	208
GSM1193664	ERG	BLOOD	Jurkat	PRJNA213143_GSM1193664_ERG_peaks.narrowPeak	T cell	209
GSM1193665	ERG	BLOOD	Jurkat	PRJNA213143_GSM1193665_ERG_peaks.narrowPeak	T cell	209
GSM1197320	GATA6	GI	LS-174T	PRJNA213625_GSM1197320_GATA6_peaks.narrowPeak	Colon	210
GSM1197321	GATA6	GI	LS-174T	PRJNA213625_GSM1197321_GATA6_peaks.narrowPeak	Colon	210
GSM1197322	GATA6	GI	LS-174T	PRJNA213625_GSM1197322_GATA6_peaks.narrowPeak	Colon	210
GSM1198993	SOX2	BRAIN	ReN-VM	PRJNA213908_GSM1198993_SOX2_peaks.narrowPeak	Neurons	211
GSM1198994	SOX2	BRAIN	ReN-VM	PRJNA213908_GSM1198994_SOX2_peaks.narrowPeak	Neurons	211
GSM1201946	REST	BLOOD	CD4-Positive T-Lymphocytes	PRJNA214317_GSM1201946_REST_peaks.narrowPeak	CD4 T cell	212
GSM1207889	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207889_E2F1_peaks.narrowPeak	Prostate	213
GSM1207890	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207890_E2F1_peaks.narrowPeak	Prostate	213
GSM1207893	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207893_E2F1_peaks.narrowPeak	Prostate	213
GSM1207894	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207894_E2F1_peaks.narrowPeak	Prostate	213
GSM1207897	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207897_E2F1_peaks.narrowPeak	Prostate	213
GSM1207898	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207898_E2F1_peaks.narrowPeak	Prostate	213
GSM1207901	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207901_E2F1_peaks.narrowPeak	Prostate	213
GSM1207902	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207902_E2F1_peaks.narrowPeak	Prostate	213
GSM1207905	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207905_E2F1_peaks.narrowPeak	Prostate	213
GSM1207906	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207906_E2F1_peaks.narrowPeak	Prostate	213
GSM1207909	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207909_E2F1_peaks.narrowPeak	Prostate	213
GSM1207910	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207910_E2F1_peaks.narrowPeak	Prostate	213
GSM1207913	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207913_E2F1_peaks.narrowPeak	Prostate	213
GSM1207914	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207914_E2F1_peaks.narrowPeak	Prostate	213
GSM1207916	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207916_E2F1_peaks.narrowPeak	Prostate	213
GSM1207917	E2F1	PROSTATE	Unclassified	PRJNA215063_GSM1207917_E2F1_peaks.narrowPeak	Prostate	213
GSM1218849	MYOD1	MUSCLE	Myoblasts	PRJNA217446_GSM1218849_MYOD1_peaks.narrowPeak	Myoblast	214
GSM1218850	MYOD1	MUSCLE	Myotube	PRJNA217446_GSM1218850_MYOD1_peaks.narrowPeak	Myotube	215
GSM1218851	MYOD1	SARCOMA	RD	PRJNA217446_GSM1218851_MYOD1_peaks.narrowPeak	Muscle	216
GSM1227204	STAT3	BLOOD	OCI-LY-10	PRJNA218584_GSM1227204_STAT3_peaks.narrowPeak	B cell	217
GSM1227205	STAT3	BLOOD	OCI-LY-19	PRJNA218584_GSM1227205_STAT3_peaks.narrowPeak	B cell	218
GSM1227206	STAT3	BLOOD	OCI-LY-3	PRJNA218584_GSM1227206_STAT3_peaks.narrowPeak	B cell	219
GSM1227207	STAT3	BLOOD	OCI-LY-7	PRJNA218584_GSM1227207_STAT3_peaks.narrowPeak	B cell	220
GSM1227208	STAT3	BLOOD	SU-DHL-10	PRJNA218584_GSM1227208_STAT3_peaks.narrowPeak	B cell	221
GSM1227209	STAT3	BLOOD	SU-DHL-2	PRJNA218584_GSM1227209_STAT3_peaks.narrowPeak	B cell	222
GSM1227210	STAT3	BLOOD	SU-DHL-4	PRJNA218584_GSM1227210_STAT3_peaks.narrowPeak	B cell	223
GSM1227211	STAT3	BLOOD	SU-DHL-6	PRJNA218584_GSM1227211_STAT3_peaks.narrowPeak	B cell	224
GSM1227212	STAT3	BLOOD	U-2932	PRJNA218584_GSM1227212_STAT3_peaks.narrowPeak	B cell	225
GSM1235008	ESR1	BREAST	MDA-MB-134-VI	PRJNA219645_GSM1235008_ESR1_peaks.narrowPeak	Breast	226
GSM1235010	ESR1	BREAST	MDA-MB-134-VI	PRJNA219645_GSM1235010_ESR1_peaks.narrowPeak	Breast	226
GSM1233869	CTCF	BLOOD	GM10847	PRJNA219683_GSM1233869_CTCF_peaks.narrowPeak	B cell	227
GSM1233870	CTCF	BLOOD	GM10847	PRJNA219683_GSM1233870_CTCF_peaks.narrowPeak	B cell	227
GSM1233871	CTCF	BLOOD	GM10847	PRJNA219683_GSM1233871_CTCF_peaks.narrowPeak	B cell	227
GSM1233887	CTCF	BLOOD	GM12878	PRJNA219683_GSM1233887_CTCF_peaks.narrowPeak	B cell	228
GSM1233888	CTCF	BLOOD	GM12878	PRJNA219683_GSM1233888_CTCF_peaks.narrowPeak	B cell	228
GSM646314	CTCF	BLOOD	GM12878	PRJNA63443_GSM646314_CTCF_peaks.narrowPeak	B cell	228
GSM646315	CTCF	BLOOD	GM12878	PRJNA63443_GSM646315_CTCF_peaks.narrowPeak	B cell	228
GSM733752	CTCF	BLOOD	GM12878	PRJNA63443_GSM733752_CTCF_peaks.narrowPeak	B cell	228
GSM822312	CTCF	BLOOD	GM12878	PRJNA63443_GSM822312_CTCF_peaks.narrowPeak	B cell	228
GSM749704	CTCF	BLOOD	GM12878	PRJNA63447_GSM749704_CTCF_peaks.narrowPeak	B cell	228
GSM749706	CTCF	BLOOD	GM12878	PRJNA63447_GSM749706_CTCF_peaks.narrowPeak	B cell	228
GSM935611	CTCF	BLOOD	GM12878	PRJNA63447_GSM935611_CTCF_peaks.narrowPeak	B cell	228
GSM1233914	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233914_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233915	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233915_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233916	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233916_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233977	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233977_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233978	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233978_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233979	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1233979_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234144	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234144_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234145	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234145_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234146	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234146_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234162	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234162_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234163	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234163_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234164	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234164_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234180	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234180_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234181	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234181_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234182	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234182_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234198	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234198_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234199	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234199_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1234200	CTCF	BLOOD	Lymphoblastoid cell line	PRJNA219683_GSM1234200_CTCF_peaks.narrowPeak	Lymphoblastoid	229
GSM1233933	CTCF	BLOOD	GM12891	PRJNA219683_GSM1233933_CTCF_peaks.narrowPeak	B cell	230
GSM1233934	CTCF	BLOOD	GM12891	PRJNA219683_GSM1233934_CTCF_peaks.narrowPeak	B cell	230
GSM1233955	CTCF	BLOOD	GM12892	PRJNA219683_GSM1233955_CTCF_peaks.narrowPeak	B cell	231
GSM1233956	CTCF	BLOOD	GM12892	PRJNA219683_GSM1233956_CTCF_peaks.narrowPeak	B cell	231
GSM1233993	CTCF	BLOOD	GM18505	PRJNA219683_GSM1233993_CTCF_peaks.narrowPeak	B cell	232
GSM1233994	CTCF	BLOOD	GM18505	PRJNA219683_GSM1233994_CTCF_peaks.narrowPeak	B cell	232
GSM1234010	CTCF	BLOOD	GM18526	PRJNA219683_GSM1234010_CTCF_peaks.narrowPeak	B cell	233
GSM1234011	CTCF	BLOOD	GM18526	PRJNA219683_GSM1234011_CTCF_peaks.narrowPeak	B cell	233
GSM1234027	CTCF	BLOOD	GM18951	PRJNA219683_GSM1234027_CTCF_peaks.narrowPeak	B cell	234
GSM1234028	CTCF	BLOOD	GM18951	PRJNA219683_GSM1234028_CTCF_peaks.narrowPeak	B cell	234
GSM1234044	CTCF	BLOOD	GM19099	PRJNA219683_GSM1234044_CTCF_peaks.narrowPeak	B cell	235
GSM1234045	CTCF	BLOOD	GM19099	PRJNA219683_GSM1234045_CTCF_peaks.narrowPeak	B cell	235
GSM1234061	CTCF	BLOOD	GM19193	PRJNA219683_GSM1234061_CTCF_peaks.narrowPeak	B cell	236
GSM1234062	CTCF	BLOOD	GM19193	PRJNA219683_GSM1234062_CTCF_peaks.narrowPeak	B cell	236
GSM1234078	CTCF	BLOOD	GM19238	PRJNA219683_GSM1234078_CTCF_peaks.narrowPeak	B cell	237
GSM1234079	CTCF	BLOOD	GM19238	PRJNA219683_GSM1234079_CTCF_peaks.narrowPeak	B cell	237
GSM1234099	CTCF	BLOOD	GM19239	PRJNA219683_GSM1234099_CTCF_peaks.narrowPeak	B cell	238
GSM1234100	CTCF	BLOOD	GM19239	PRJNA219683_GSM1234100_CTCF_peaks.narrowPeak	B cell	238
GSM1234121	CTCF	BLOOD	GM19240	PRJNA219683_GSM1234121_CTCF_peaks.narrowPeak	B cell	239
GSM1234122	CTCF	BLOOD	GM19240	PRJNA219683_GSM1234122_CTCF_peaks.narrowPeak	B cell	239
GSM1234216	CTCF	BLOOD	MS1	PRJNA219683_GSM1234216_CTCF_peaks.narrowPeak	Lung	240
GSM1234217	CTCF	BLOOD	MS1	PRJNA219683_GSM1234217_CTCF_peaks.narrowPeak	Lung	240
GSM1234218	CTCF	BLOOD	MS1	PRJNA219683_GSM1234218_CTCF_peaks.narrowPeak	Lung	240
GSM1234219	CTCF	BLOOD	MS1	PRJNA219683_GSM1234219_CTCF_peaks.narrowPeak	Lung	240
GSM1239390	CTCF	GI	LoVo	PRJNA221287_GSM1239390_CTCF_peaks.narrowPeak	Colon	241
GSM1239427	CTCF	GI	LoVo	PRJNA221287_GSM1239427_CTCF_peaks.narrowPeak	Colon	241
GSM1239559	CTCF	GI	LoVo	PRJNA221287_GSM1239559_CTCF_peaks.narrowPeak	Colon	241
GSM1239588	CTCF	GI	LoVo	PRJNA221287_GSM1239588_CTCF_peaks.narrowPeak	Colon	241
GSM1239395	FOXA2	GI	LoVo	PRJNA221287_GSM1239395_FOXA2_peaks.narrowPeak	Colon	242
GSM1239432	MAFG	GI	LoVo	PRJNA221287_GSM1239432_MAFG_peaks.narrowPeak	Colon	243
GSM1239450	CREB1	GI	LoVo	PRJNA221287_GSM1239450_CREB1_peaks.narrowPeak	Colon	244
GSM1239452	E2F3	GI	LoVo	PRJNA221287_GSM1239452_E2F3_peaks.narrowPeak	Colon	245
GSM1239454	ETV5	GI	LoVo	PRJNA221287_GSM1239454_ETV5_peaks.narrowPeak	Colon	246
GSM1239455	GLI2	GI	LoVo	PRJNA221287_GSM1239455_GLI2_peaks.narrowPeak	Colon	247
GSM1239465	IRF1	GI	LoVo	PRJNA221287_GSM1239465_IRF1_peaks.narrowPeak	Colon	248
GSM1239467	JUN	GI	LoVo	PRJNA221287_GSM1239467_JUN_peaks.narrowPeak	Colon	249
GSM1239478	NFYA	GI	LoVo	PRJNA221287_GSM1239478_NFYA_peaks.narrowPeak	Colon	250
GSM1239487	SOX9	GI	LoVo	PRJNA221287_GSM1239487_SOX9_peaks.narrowPeak	Colon	251
GSM1239492	BARX1	GI	LoVo	PRJNA221287_GSM1239492_BARX1_peaks.narrowPeak	Colon	252
GSM1239493	BCL6	GI	LoVo	PRJNA221287_GSM1239493_BCL6_peaks.narrowPeak	Colon	253
GSM1239498	E2F8	GI	LoVo	PRJNA221287_GSM1239498_E2F8_peaks.narrowPeak	Colon	254
GSM1239502	GMEB2	GI	LoVo	PRJNA221287_GSM1239502_GMEB2_peaks.narrowPeak	Colon	255
GSM1239510	JUNB	GI	LoVo	PRJNA221287_GSM1239510_JUNB_peaks.narrowPeak	Colon	256
GSM1239523	SOX2	GI	LoVo	PRJNA221287_GSM1239523_SOX2_peaks.narrowPeak	Colon	257
GSM1239667	XBP1	BREAST	T-47D	PRJNA221365_GSM1239667_XBP1_peaks.narrowPeak	Breast	258
GSM1276191	XBP1	BREAST	T-47D	PRJNA221365_GSM1276191_XBP1_peaks.narrowPeak	Breast	258
GSM1276192	XBP1	BREAST	Hs 578T	PRJNA221365_GSM1276192_XBP1_peaks.narrowPeak	Breast	259
GSM1240813	CTCF	GI	GP5d	PRJNA221781_GSM1240813_CTCF_peaks.narrowPeak	Colon	260
GSM1240827	CTCF	GI	GP5d	PRJNA221781_GSM1240827_CTCF_peaks.narrowPeak	Colon	260
GSM1240815	HNF4A	GI	GP5d	PRJNA221781_GSM1240815_HNF4A_peaks.narrowPeak	Colon	261
GSM1240829	HNF4A	GI	GP5d	PRJNA221781_GSM1240829_HNF4A_peaks.narrowPeak	Colon	261
GSM1240819	JUND	GI	GP5d	PRJNA221781_GSM1240819_JUND_peaks.narrowPeak	Colon	262
GSM1240833	JUND	GI	GP5d	PRJNA221781_GSM1240833_JUND_peaks.narrowPeak	Colon	262
GSM1240820	KLF5	GI	GP5d	PRJNA221781_GSM1240820_KLF5_peaks.narrowPeak	Colon	263
GSM1240834	KLF5	GI	GP5d	PRJNA221781_GSM1240834_KLF5_peaks.narrowPeak	Colon	263
GSM1240821	MYC	GI	GP5d	PRJNA221781_GSM1240821_MYC_peaks.narrowPeak	Colon	264
GSM1240835	MYC	GI	GP5d	PRJNA221781_GSM1240835_MYC_peaks.narrowPeak	Colon	264
